,0
0,10.82
1,20.22
2,27.34
3,33.36
4,39.12
5,43.97
6,48.24
7,51.92
8,55.480000000000004
9,59.010000000000005
10,62.010000000000005
11,64.66000000000001
12,67.22000000000001
13,69.50000000000001
14,71.56000000000002
15,73.42000000000002
16,75.06000000000002
17,76.63000000000001
18,78.11000000000001
19,79.45000000000002
20,80.75000000000001
21,81.95000000000002
22,83.03000000000002
23,84.03000000000002
24,84.94000000000001
25,85.83000000000001
26,86.67000000000002
27,87.45000000000002
28,88.21000000000002
29,88.93000000000002
30,89.60000000000002
31,90.23000000000002
32,90.84000000000002
33,91.37000000000002
34,91.88000000000002
35,92.35000000000002
36,92.81000000000002
37,93.23000000000002
38,93.63000000000002
39,94.01000000000002
40,94.37000000000002
41,94.71000000000002
42,95.04000000000002
43,95.34000000000002
44,95.63000000000002
45,95.91000000000003
46,96.17000000000003
47,96.43000000000004
48,96.67000000000003
49,96.90000000000003
50,97.11000000000003
51,97.31000000000003
52,97.49000000000004
53,97.66000000000004
54,97.82000000000004
55,97.97000000000004
56,98.11000000000004
57,98.25000000000004
58,98.38000000000004
59,98.49000000000004
60,98.60000000000004
61,98.70000000000003
62,98.80000000000003
63,98.89000000000003
64,98.98000000000003
65,99.06000000000003
66,99.14000000000003
67,99.21000000000002
68,99.28000000000002
69,99.35000000000001
70,99.41000000000001
71,99.46000000000001
72,99.51
73,99.56
74,99.61
75,99.65
76,99.69000000000001
77,99.72000000000001
78,99.75000000000001
79,99.78000000000002
80,99.81000000000002
81,99.83000000000001
82,99.85000000000001
83,99.87
84,99.89
85,99.91
86,99.92
87,99.93
88,99.94000000000001
89,99.95000000000002
90,99.96000000000002
91,99.96000000000002
